cliente_identificador,Caminho Francês,Caminho Português,Caminho Primitivo,Caminho do Norte,Via Francigena
CLI001 - Ana Lima,10.0,9.0,0.0,8.0,0.0
CLI002 - Carlos Mota,8.0,0.0,8.0,0.0,0.0
CLI003 - Fernanda Reis,10.0,0.0,0.0,0.0,0.0
CLI004 - João Alves,5.0,8.0,9.0,0.0,7.0
CLI006 - Roberto Nunes,10.0,0.0,0.0,0.0,0.0
CLI007 - Patrícia Silva,0.0,0.0,0.0,9.0,0.0
CLI008 - Diego Souza,9.0,8.0,0.0,0.0,10.0
CLI009 - Beatriz Gomes,0.0,0.0,0.0,0.0,6.0
CLI012 - Camila Santos,7.0,0.0,0.0,0.0,0.0
CLI013 - Bruno Pereira,0.0,0.0,9.0,0.0,0.0
CLI014 - Juliana Lima,0.0,0.0,0.0,0.0,8.0
CLI015 - Gabriel Costa,10.0,0.0,0.0,0.0,0.0
CLI016 - Sophia Martins,0.0,0.0,10.0,0.0,0.0
CLI019 - Marcos Silva,0.0,8.0,0.0,0.0,0.0
CLI020 - Helena Dias,0.0,0.0,0.0,6.0,0.0
CLI021 - Thiago Mello,0.0,0.0,0.0,8.0,0.0
CLI022 - Larissa Duarte,0.0,0.0,9.0,0.0,0.0
CLI023 - Felipe Almeida,0.0,4.0,0.0,0.0,0.0
CLI026 - Isabela Ramos,0.0,8.0,0.0,0.0,0.0
CLI027 - Rodrigo Nogueira,0.0,0.0,8.0,0.0,0.0
CLI028 - Clara Mendes,0.0,10.0,0.0,0.0,0.0
CLI030 - Vanessa Moreira,8.0,0.0,0.0,0.0,0.0
CLI031 - Lucas Silva,0.0,6.0,0.0,0.0,0.0
CLI032 - Ricardo Santos,8.0,8.0,0.0,5.0,0.0
CLI033 - Ricardo Mendes,8.0,0.0,0.0,0.0,0.0
CLI037 - Beatriz Cavalcante,0.0,0.0,0.0,8.0,0.0
CLI038 - Thiago Cavalcanti,8.0,0.0,0.0,0.0,0.0
CLI039 - Ricardo Cavalcanti,0.0,0.0,8.0,0.0,0.0
CLI040 - Lívia Meireles,8.0,0.0,8.0,0.0,8.0
CLI041 - Felipe Cardoso,8.0,0.0,0.0,0.0,0.0
CLI044 - Vitor Andrade,0.0,0.0,0.0,0.0,5.0
CLI045 - Lucas Martins,0.0,8.0,0.0,0.0,0.0
CLI046 - Ricardo Cavalcanti,0.0,0.0,0.0,8.0,0.0
CLI047 - Lucas Andrade,0.0,0.0,0.0,10.0,0.0
CLI048 - Ricardo Albuquerque,0.0,0.0,9.0,0.0,0.0
CLI049 - Beatriz Rocha,0.0,8.0,0.0,0.0,0.0
CLI050 - Rafaela Oliveira,8.0,0.0,0.0,0.0,0.0
CLI051 - Juliana Matos,0.0,0.0,8.0,0.0,0.0
CLI052 - Ricardo Mendonça,0.0,9.0,8.0,0.0,0.0
CLI054 - Ricardo Barbosa,0.0,8.0,0.0,0.0,0.0
CLI055 - Gabriel Antunes,9.0,8.0,8.0,0.0,0.0
CLI057 - Tiago Mendes,0.0,0.0,9.0,0.0,0.0
CLI058 - Pedro Cavalcante,0.0,8.0,0.0,0.0,0.0
CLI060 - Juliana Ferreira,8.0,8.0,8.0,8.0,9.0
CLI062 - Gabriel Matos,0.0,9.0,0.0,0.0,0.0
CLI063 - Paula Guimarães,8.0,0.0,0.0,0.0,0.0
CLI064 - Lucas Mendes,8.0,0.0,0.0,0.0,0.0
CLI066 - Sofia Barbosa,0.0,8.0,0.0,0.0,0.0
CLI068 - Sérgio Antunes,0.0,0.0,0.0,7.0,0.0
CLI069 - Joaquim Ferreira,8.0,0.0,0.0,0.0,0.0
CLI070 - Ricardo Mendes,0.0,0.0,10.0,0.0,0.0
CLI071 - Lucas Mendonça,0.0,0.0,0.0,0.0,8.0
CLI072 - Camila Barbosa,7.0,0.0,0.0,0.0,0.0
CLI074 - Ricardo Gomes,8.0,0.0,0.0,0.0,0.0
CLI075 - Eduardo Guimarães,10.0,8.0,0.0,8.0,7.0
CLI078 - Ricardo Almeida,0.0,8.0,0.0,0.0,0.0
CLI080 - Pedro Albuquerque,8.0,0.0,0.0,0.0,0.0
CLI081 - Gabriel Fernandes,0.0,0.0,0.0,0.0,9.0
CLI082 - Gabriel Almeida,0.0,0.0,8.0,0.0,0.0
CLI083 - Ricardo Almeida,8.0,0.0,0.0,0.0,0.0
CLI084 - Rafael Souza,8.0,0.0,0.0,0.0,0.0
CLI085 - Thiago Nogueira,0.0,0.0,0.0,9.0,0.0
CLI087 - Ricardo Mendes,8.0,9.0,7.0,8.0,8.0
CLI091 - Rafael Santos,0.0,0.0,0.0,0.0,8.0
CLI092 - Lucas Rocha,9.0,0.0,0.0,0.0,0.0
CLI093 - Rafael Mendes,0.0,0.0,8.0,0.0,0.0
CLI094 - Arthur Nogueira,9.0,0.0,0.0,0.0,0.0
CLI095 - Pedro Rocha,10.0,0.0,9.0,9.0,8.0
CLI099 - Ricardo Almeida,0.0,0.0,0.0,0.0,9.0
CLI100 - Eduardo Souza,9.0,0.0,0.0,0.0,0.0
