id_cliente;nome_sobrenome;nome;sobrenome;email;sexo;idade;cidade_cliente_nome;profissao_nome;modalidade;altura;peso;tipo_roteiro_nome;cidade_inicio;dias_roteiro;etapas_roteiro;data_inicio_roteiro;data_final_roteiro;valor_orcado;valor_real;Coluna1;tipo_hospedagem;acompanhantes;transporte_inicio;transporte_final;transporte_mochila;tour_santiago;motivacao
11;João Batista Medeiros de Menezes;João;Menezes;joãomenezes98@hotmail.com;Male;37;Jaboatão;Farmacêutico;autoguiado;1,89;85,8;A pe;Astorga;17;12;25/02/2023;14/03/2023;2344;0,99;2312,79;Superior;7;sim;sim;sim;sim;Aventura
14;Jacqueline Assis Carvalho;Jacqueline;Carvalho;jacqueline_carvalho@yahoo.com;Female;34;Fortaleza;Auxiliar administrativo;autoguiado;1,61;62,2;A pe;Astorga;17;12;21/12/2018;07/01/2019;2016;1,00;2014,85;Superior;6;sim;sim;sim;sim;Aventura
20;PAULO NEY SIMÕES DA SILVA;PAULO;SILVA;silva.paulo@gmail.com;Female;27;Belém;Professor;grupo;1,97;89,5;A pe;Astorga;17;12;13/09/2026;30/09/2026;2497;1,04;2586,25;Superior;3;sim;sim;sim;sim;Auto-conhecimento
24;Maria Helena Araújo Machado;Maria;Machado;machado.maria@outlook.com;Male;28;São Paulo;Vendedor;grupo;1,98;106,9;A pe;Astorga;17;12;14/08/2019;31/08/2019;2195;1,00;2189,60;Superior;10;sim;não;sim;sim;Espiritual
35;TELMA MARTINS ZOMIGNANI MENDES;TELMA;MENDES;mendes.telma@gmail.com;Male;29;Manaus;Enfermeiro;autoguiado;1,81;77,5;A pe;Astorga;17;12;22/12/2020;08/01/2021;2016;1,21;2441,61;Standard;2;sim;sim;não;sim;Cultural
46;DANIEL VARGAS CUNHA;DANIEL;CUNHA;daniel_cunha@hotmail.com;Male;24;Rio de Janeiro;Nutricionista;guiado;1,80;81,9;A pe;Astorga;17;12;17/11/2024;04/12/2024;1895;0,99;1876,04;Superior;5;sim;sim;sim;sim;Espiritual
50;Vitor Luna de Dampaio;Vitor;Dampaio;vitor.dampaio@yahoo.com;Genderfluid;50;Campinas;Professor;autoguiado;1,65;74,6;A pe;Astorga;17;12;02/01/2021;19/01/2021;2071;0,99;2041,14;Standard;2;sim;sim;sim;sim;Cultural
58;Marise Costa de Araujo;Marise;Araujo;marisearaujo51@gmail.com;Male;34;Fortaleza;Atendente;autoguiado;1,99;110,2;A pe;Astorga;17;12;06/10/2020;23/10/2020;2138;0,99;2106,97;Superior;7;sim;sim;sim;sim;Espiritual
72;Margarida Maria Carvalho de Alencar;Margarida;Alencar;margarida.alencar@gmail.com;Polygender;54;São Paulo;Economista;grupo;1,78;81,0;A pe;Astorga;17;12;20/07/2018;06/08/2018;2191;0,99;2165,66;Standard;2;sim;não;sim;sim;Espiritual
81;Maria Elvira Alves Nunes;Maria;Nunes;maria_nunes@outlook.com;Female;28;São Gonçalo;Motorista;autoguiado;1,96;84,7;A pe;Astorga;17;12;08/07/2019;25/07/2019;2149;1,27;2724,49;Standard;3;sim;não;sim;sim;Espiritual
